╔═══════════════════════════════════════════════════════════════════╗
║  Aurora MySQL vs PostgreSQL — 30-Minute Stress Test             ║
║  Instance: db.r7g.4xlarge | 1 Writer + 2 Readers per engine    ║
║  Rates: 200 400 1000 MB/s | Duration: 240s per test         ║
║  Started: Thu Mar 12 04:12:45 UTC 2026                               ║
╚═══════════════════════════════════════════════════════════════════╝

Checking connectivity...
  PG Writer: OK
  PG Reader: OK
  MySQL Writer: OK
  MySQL Reader: OK

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  TESTING AT 200 MB/s
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

>>> postgresql @ 200 MB/s (240s)

[2026-03-12T04:12:45.755056] Starting postgresql benchmark at 200 MB/s with 16 workers for 240s
[PostgreSQL] Created benchmark_data on aurora-bench-pg.cluster-chmyywwu8h83.us-east-2.rds.amazonaws.com

==========================================================================================
  POSTGRESQL BENCHMARK  |  Target: 200 MB/s  |  Duration: 240s
==========================================================================================
  Time |  Instant MB/s |   Avg MB/s |     Rows/s |    Total Rows |  Total GB |  Errors
   86s |       89.8 MB/s |   101.2 MB/s |     80,000 |     7,755,000 |    8.50 GB |       0
   87s |       95.4 MB/s |   101.1 MB/s |     85,000 |     7,840,000 |    8.59 GB |       0
   88s |      151.5 MB/s |   101.7 MB/s |    135,000 |     7,975,000 |    8.74 GB |       0
   89s |      101.0 MB/s |   101.7 MB/s |     90,000 |     8,065,000 |    8.84 GB |       0
   90s |      101.0 MB/s |   101.7 MB/s |     90,000 |     8,155,000 |    8.94 GB |       0
   91s |       89.8 MB/s |   101.6 MB/s |     80,000 |     8,235,000 |    9.03 GB |       0
   92s |       89.8 MB/s |   101.4 MB/s |     80,000 |     8,315,000 |    9.11 GB |       0
   93s |      106.6 MB/s |   101.5 MB/s |     95,000 |     8,410,000 |    9.22 GB |       0
   94s |       89.8 MB/s |   101.4 MB/s |     80,000 |     8,490,000 |    9.31 GB |       0
   95s |      101.0 MB/s |   101.4 MB/s |     90,000 |     8,580,000 |    9.40 GB |       0
   96s |      168.4 MB/s |   102.1 MB/s |    150,000 |     8,730,000 |    9.57 GB |       0
   97s |       89.8 MB/s |   101.9 MB/s |     80,000 |     8,810,000 |    9.66 GB |       0
   98s |       89.8 MB/s |   101.8 MB/s |     80,000 |     8,890,000 |    9.74 GB |       0
   99s |       89.8 MB/s |   101.7 MB/s |     80,000 |     8,970,000 |    9.83 GB |       0
  100s |       89.8 MB/s |   101.6 MB/s |     80,000 |     9,050,000 |    9.92 GB |       0
  101s |       95.4 MB/s |   101.5 MB/s |     85,000 |     9,135,000 |   10.01 GB |       0
  102s |       84.2 MB/s |   101.3 MB/s |     75,000 |     9,210,000 |   10.09 GB |       0
  103s |      179.6 MB/s |   102.1 MB/s |    160,000 |     9,370,000 |   10.27 GB |       0
  104s |       89.8 MB/s |   102.0 MB/s |     80,000 |     9,450,000 |   10.36 GB |       0
  105s |      101.0 MB/s |   102.0 MB/s |     90,000 |     9,540,000 |   10.46 GB |       0
  106s |      106.6 MB/s |   102.0 MB/s |     95,000 |     9,635,000 |   10.56 GB |       0
  107s |       89.8 MB/s |   101.9 MB/s |     80,000 |     9,715,000 |   10.65 GB |       0
  108s |       89.8 MB/s |   101.8 MB/s |     80,000 |     9,795,000 |   10.74 GB |       0
  109s |       95.4 MB/s |   101.7 MB/s |     85,000 |     9,880,000 |   10.83 GB |       0
  110s |       89.8 MB/s |   101.6 MB/s |     80,000 |     9,960,000 |   10.92 GB |       0
  111s |      157.1 MB/s |   102.1 MB/s |    140,000 |    10,100,000 |   11.07 GB |       0
  112s |       73.0 MB/s |   101.9 MB/s |     65,000 |    10,165,000 |   11.14 GB |       0
  113s |      129.1 MB/s |   102.1 MB/s |    115,000 |    10,280,000 |   11.27 GB |       0
  114s |       95.4 MB/s |   102.0 MB/s |     85,000 |    10,365,000 |   11.36 GB |       0
  115s |       89.8 MB/s |   101.9 MB/s |     80,000 |    10,445,000 |   11.45 GB |       0
  116s |       95.4 MB/s |   101.9 MB/s |     85,000 |    10,530,000 |   11.54 GB |       0
  117s |      106.6 MB/s |   101.9 MB/s |     95,000 |    10,625,000 |   11.65 GB |       0
  118s |       89.8 MB/s |   101.8 MB/s |     80,000 |    10,705,000 |   11.73 GB |       0
  119s |       95.4 MB/s |   101.8 MB/s |     85,000 |    10,790,000 |   11.83 GB |       0
  120s |      174.0 MB/s |   102.4 MB/s |    155,000 |    10,945,000 |   12.00 GB |       0
  121s |       89.8 MB/s |   102.3 MB/s |     80,000 |    11,025,000 |   12.08 GB |       0
